key,en,zh,,,,
create project,create project,创建项目,,,,
looks like you run into a not exist page,looks like you run into a not exist page,看起来你遇到了一个不存在的页面,,,,
back,back,返回,,,,
next up,next up,即将开始,,,,
more upcoming drops,more upcoming drops,更多即将开始的项目,,,,
all,all,所有,,,,
whitelist,whitelist,白名单,,,,
are you sure you want to delete this item?,are you sure you want to delete this item?,你确定要删除这个项目吗？,,,,
can not less then {{count}} character,can not less then {{count}} character,不能少于{{count}}字符,,,,
no more than {{count}} character,no more than {{count}} character,不能多于{{count}}个字符,,,,
in whitelist,in whitelist,在白名单中,,,,
WL presale start,WL presale start,白名单预售开始,,,,
WL mint price,WL mint price,白名单mint价格,,,,
public sale start,public sale start,公开销售开始,,,,
public price,public price,公开价格,,,,
minted,minted,已Mint,,,,
max supply,max supply,最大供应量,,,,
no any project yet,no any project yet,尚无任何项目,,,,
creating a community is the first step to riches,creating a community is the first step to riches,创建一个社区是致富的第一步,,,,
add club,add club,添加俱乐部,,,,
select club,select club,选择俱乐部,,,,
no upcoming NFT drops,no upcoming NFT drops,没有即将到来的NFT下降,,,,
setting,setting,设置,,,,
generate NFT,generate NFT,产生NFT,,,,
next,next,下一个,,,,
whitelist presale,whitelist presale,白名单预售,,,,
finished,finished,完成,,,,
whitelist presale end in,whitelist presale end in,白名单预售结束于,,,,
whitelist presale start in,whitelist presale start in,白名单预售开始于,,,,
public sale,public sale,公开销售,,,,
public sale end in,public sale end in,公开销售结束,,,,
public sale start in,public sale start in,公开销售开始于,,,,
refundable,refundable,可退款,,,,
whitelist presale price,whitelist presale price,白名单预售价格,,,,
minted / whitelist supply,minted / whitelist supply,铸币/白名单供应量,,,,
total supply,total supply,总供应量,,,,
public sale price,public sale price,公开销售价格,,,,
public sale starts in,public sale starts in,公开销售开始于,,,,
not set yet,not set yet,尚未确定,,,,
mint price,mint price,铸币价格,,,,
your mint qualification,your mint qualification,您的造币资格,,,,
whitelisted,whitelisted,白名单,,,,
you are not in the whitelist,you are not in the whitelist,你不在白名单中,,,,
whitelist mint begin,whitelist mint begin,白名单上的薄荷糖开始,,,,
public mint begin,public mint begin,公众的薄荷糖开始,,,,
upload image,upload image,上传图片,,,,
generate-nft-header-intro,generate-nft-header-intro,生成-nft-标题-介绍,,,,
smart contract,smart contract,智能合约,,,,
mint page,mint page,造币厂页面,,,,
please select during time,please select during time,请选择时间,,,,
1 day,1 day,1天,,,,
7 days,7 days,7天,,,,
30 days,30 days,30天,,,,
365 days,365 days,365天,,,,
please select,please select,请选择,,,,
please select language,please select language,请选择语言,,,,
language_warning_intro,language_warning_intro,语言_警告_介绍,,,,
input kw for filter,input kw for filter,输入关键词过滤,,,,
please select token,please select token,请选择代币,,,,
add token,add token,添加提示符,,,,
about,about,关于,,,,
airdrop,airdrop,空投,,,,
hot collections,hot collections,热门收藏,,,,
home,home,首页,,,,
management,management,管理,,,,
My Nfts,My Nfts,我的Nfts,,,,
refund,refund,退款,,,,
this action cannot be undone. This will permanently remove this NFT from your wallet and then refund your money.,this action cannot be undone. This will permanently remove this NFT from your wallet and then refund your money.,此操作不能被撤销。这将永久地从你的钱包中删除这个NFT，然后退还ETH到你的钱包。,,,,
"Please type  ""refund""  to confirm","Please type  ""refund""  to confirm","请输入 “refund""来确认",,,,
Refund NFT ID,Refund NFT ID,退款NFT ID,,,,
"please type ""refund"" to confirm","please type ""refund"" to confirm","请输入 ""refund""以确认",,,,
refund NFT success,refund NFT success,退款NFT成功,,,,
refunding,refunding,退款,,,,
refund tx sent,refund tx sent,已发送退款Tx,,,,
refund tx successful,refund tx successful,退款成功,,,,
this address is in whitelist,this address is in whitelist,此地址在白名单中,,,,
this address is not in whitelist,this address is not in whitelist,该地址不在白名单中,,,,
address,address,地址,,,,
eth wallet address,eth wallet address,eth钱包地址,,,,
check,check,检查,,,,
not connect wallet yet,not connect wallet yet,还没有连接钱包,,,,
you are in whitelist,you are in whitelist,你在白名单中,,,,
you are not in whitelist,you are not in whitelist,你不在白名单中,,,,
add to google calendar,add to google calendar,添加到谷歌日历,,,,
live now,live now,现在直播,,,,
minted / total supply,minted / total supply,已铸币/总供应量,,,,
whitelist supply,whitelist supply,白名单供应,,,,
the maximum number of Mint has been reached,the maximum number of Mint has been reached,已达到薄荷糖的最大数量,,,,
whitelist check,whitelist check,白名单检查,,,,
basic,basic,基本,,,,
collection size,collection size,合集NFT数量,,,,
contract address,contract address,合约地址,,,,
network,network,ETH网络,,,,
reveal in,reveal in,开图时间,,,,
whitelist spot,whitelist spot,白名单现货,,,,
whitelist mint time,whitelist mint time,白名单上mint时间,,,,
public mint time,public mint time,公开mint时间,,,,
(no end time),(no end time),(没有结束时间),,,,
creator,creator,创建者,,,,
roadmap,roadmap,路线图,,,,
locked ends in,locked ends in,锁定结束,,,,
refundable rate,refundable rate,退款率,,,,
refund introduction,refund introduction,退款介绍,,,,
mint NFT success,mint NFT success,铸造NFT成功,,,,
minting nft,minting nft,minting NFT,,,,
mint tx sent,mint tx sent,已发送的铸造NFT交易,,,,
mint tx successful,mint tx successful,mint交易成功,,,,
waiting for the transaction to be executed,waiting for the transaction to be executed,等待交易的执行,,,,
tx failed,tx failed,交易失败,,,,
fast,fast,快速,,,,
average,average,平均,,,,
low,low,慢速,,,,
Gas estimates,Gas estimates,GAS预估,,,,
mint one,mint one,mint one,,,,
mint two,mint two,mint two,,,,
load more,load more,加载更多,,,,
